driverId,circuitId,avg_finish_at_circuit
1,1,8.0
1,3,3.4
1,4,2.4
1,5,3.0
1,6,6.5
1,7,3.3333333333333335
1,9,1.8333333333333333
1,11,2.25
1,13,7.0
1,14,8.75
1,15,6.0
1,17,9.0
1,18,3.6666666666666665
1,20,1.0
1,21,5.5
1,22,6.333333333333333
1,24,8.0
1,32,2.0
1,34,2.0
1,39,4.0
1,69,7.666666666666667
1,70,3.7142857142857144
1,71,2.0
1,73,8.333333333333334
1,75,1.0
1,76,1.0
1,77,6.25
1,78,10.0
1,79,6.0
1,80,7.0
4,1,9.333333333333334
4,3,10.0
4,4,11.25
4,5,16.0
4,6,8.25
4,7,5.666666666666667
4,9,6.75
4,11,7.0
4,13,7.0
4,14,12.0
4,15,16.5
4,17,7.0
4,18,5.666666666666667
4,21,16.0
4,22,7.0
4,24,11.666666666666666
4,32,15.333333333333334
4,34,7.0
4,39,4.666666666666667
4,69,13.666666666666666
4,70,10.4
4,71,6.0
4,73,5.666666666666667
4,75,8.0
4,77,9.25
4,78,4.5
4,79,7.666666666666667
4,80,9.0
8,3,13.333333333333334
8,4,13.0
8,5,13.5
8,6,11.0
8,9,15.666666666666666
8,11,12.5
8,13,15.0
8,14,13.0
8,18,12.0
8,20,12.0
8,21,11.0
8,24,15.5
8,32,8.0
8,34,17.0
8,69,13.0
8,70,12.75
8,71,11.0
8,73,10.0
8,75,15.5
8,76,9.0
8,77,15.0
8,78,14.0
9,14,14.0
9,39,15.0
20,1,19.0
20,3,13.333333333333334
20,4,10.333333333333334
20,5,10.5
20,6,7.5
20,7,12.0
20,9,12.5
20,11,12.0
20,13,8.666666666666666
20,14,17.333333333333332
20,15,8.0
20,18,11.0
20,20,11.0
20,21,11.666666666666666
20,22,6.0
20,24,11.666666666666666
20,32,10.5
20,34,10.0
20,39,13.5
20,69,9.0
20,70,15.2
20,71,12.5
20,73,4.0
20,75,11.5
20,76,10.0
20,77,16.0
20,78,10.0
20,79,17.0
154,3,20.0
154,4,19.0
154,5,18.0
154,9,16.0
154,11,16.0
154,13,15.0
154,14,12.0
154,20,9.0
154,21,14.0
154,70,14.5
154,71,17.0
154,75,17.0
154,76,12.0
807,1,8.0
807,3,16.0
807,4,13.0
807,6,18.0
807,7,13.0
807,9,11.5
807,11,14.0
807,13,18.0
807,14,17.0
807,15,13.0
807,17,10.0
807,18,12.0
807,20,8.0
807,21,11.0
807,22,12.5
807,24,15.0
807,32,13.0
807,39,12.0
807,69,11.0
807,70,13.0
807,73,17.0
807,77,11.333333333333334
807,78,16.0
807,79,13.0
807,80,19.0
815,1,4.0
815,3,7.666666666666667
815,4,4.8
815,5,2.5
815,6,9.75
815,7,14.666666666666666
815,9,10.25
815,11,8.0
815,13,8.25
815,14,5.75
815,15,4.5
815,17,3.0
815,18,5.0
815,20,4.0
815,21,6.75
815,22,7.666666666666667
815,24,10.5
815,32,8.666666666666666
815,34,3.5
815,39,5.666666666666667
815,69,3.6666666666666665
815,70,7.428571428571429
815,71,6.5
815,73,1.3333333333333333
815,75,5.5
815,76,5.0
815,77,6.0
815,78,7.0
815,79,3.3333333333333335
815,80,3.0
817,1,9.0
817,3,9.2
817,4,11.0
817,5,11.5
817,6,12.333333333333334
817,7,9.5
817,9,9.8
817,11,11.75
817,13,9.75
817,14,8.0
817,15,5.0
817,17,18.0
817,18,17.333333333333332
817,20,3.0
817,21,10.0
817,22,15.0
817,24,9.75
817,32,8.666666666666666
817,34,7.5
817,39,14.0
817,69,12.0
817,70,10.833333333333334
817,71,4.5
817,73,8.5
817,75,9.0
817,76,4.0
817,77,12.666666666666666
817,78,12.0
817,79,14.0
817,80,14.0
822,1,11.0
822,3,8.666666666666666
822,4,9.4
822,5,7.5
822,6,13.0
822,7,10.0
822,9,10.166666666666666
822,11,12.75
822,13,11.25
822,14,7.75
822,15,14.0
822,17,20.0
822,18,9.333333333333334
